clonestart,buildstart,packagestart,packagetestsstart,symbolsstart,clobberstart,finished,
1325529839,1325530010,1325533571,1325533607,1325533624,1325534448,1325534612,
1325534612,1325534782,1325538339,1325538375,1325538392,1325539216,1325539370,
1325539370,1325539541,1325543113,1325543151,1325543169,1325543994,1325544146,
1325544146,1325544318,1325547874,1325547911,1325547930,1325548732,1325548876,
1325548876,1325549049,1325552614,1325552651,1325552668,1325553461,1325553611,
1325553611,1325553786,1325557352,1325557388,1325557405,1325558227,1325558373,
1325558373,1325558555,1325562099,1325562137,1325562164,1325562987,1325563136,
1325563136,1325563311,1325566862,1325566899,1325566914,1325567740,1325567902,
1325567902,1325568080,1325571667,1325571702,1325571717,1325572500,1325572641,
1325572641,1325572816,1325576389,1325576427,1325576446,1325577275,1325577449,
1325577449,1325577632,1325581191,1325581228,1325581244,1325582047,1325582193,
1325582193,1325582377,1325585958,1325585996,1325586015,1325586841,1325586989,
1325586989,1325587174,1325590744,1325590780,1325590797,1325591621,1325591767,
1325591767,1325591953,1325595527,1325595565,1325595583,1325596413,1325596557,
1325596557,1325596741,
